Title: The Pan-STARRS1 distant z > 5.6 Quasar survey: more 
       than 100 quasars within the first Gyr of the Universe 
Authors: Banados E., Venemans B.P., Decarli R., Farina E.P., Mazzucchelli C., 
         Walter F., Fan X., Stern D., Schlafly E., Chambers K.C., Rix H.-W., 
         Jiang L., McGreer I., Simcoe R., Wang F., Yang J., Morganson E., 
         De Rosa G., Greiner J., Balokovic M., Burgett W.S., Cooper T., 
         Draper P.W., Flewelling H., Hodapp K.W., Jun H.D., Kaiser N., 
         Kudritzki R.-P., Magnier E.A., Metcalfe N., Miller D., Schindler J., 
         Tonry J.L., Wainscoat R.J., Waters C., Yang Q. 
Table: PS1 distant quasar sample arithmetic median composite spectra
================================================================================
Byte-by-byte Description of file: datafile6.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  6 F6.1   0.1nm   Wave         Wavelength in Angstroms
   8- 27 F20.18 --      FluxD        Flux density PS1 composite spectrum
  29- 31 I3     --      N            Number of quasars per wavelength bin
  33- 55 F23.20 --      FluxD(hlya)  Flux density strong lya composite spectrum
  57- 78 F22.19 --      FluxD(llya)  Flux density weak lya composite spectrum
--------------------------------------------------------------------------------
1048.0 0.16680816617726885  100 0.592816652293891       0.09754473105057962    
1048.5 0.21858702085827889  101 0.3174070381278094      0.25432591590885917    
1049.0 0.17665539492750432  101 0.13227486797912935     0.1613901545388467     
1049.5 0.1627881168281774   101 0.12789153532453387     0.11742058518721368    
1050.0 0.16614661543422976  102 0.224968263103071       0.16844088669950688    
1050.5 0.16247671597635477  102 0.23583977021490937     0.17922766123491685    
1051.0 0.15665966867050918  102 0.055609079242406524    0.17495969368436004    
1051.5 0.14214349937445164  102 -0.01920990913228136    0.18452108374383178    
1052.0 0.15358795629815444  102 0.07756689294246022     0.13012743026655074    
1052.5 0.13678636671772637  102 0.22834244178842392     0.18842913655248067    
1053.0 0.1585421158254957   102 0.2881709646022027      0.10291325123154099    
1053.5 0.17313304140246882  102 0.2928847215551636      0.24505004548241283    
1054.0 0.1526703928874606   102 0.1489132355226232      0.25501990193048857    
1054.5 0.1629635253754404   102 0.1514419944300736      0.21577017790715877    
1055.0 0.12040823018774892  102 0.07934774006166603     0.07928751139962283    
1055.5 0.11868363413525898  103 0.11202381401293422     0.06653714401579407    
1056.0 0.10493164075908484  103 0.0954262916346637      0.1693146798029609     
1056.5 0.11514703135999507  103 0.2053745629589587      0.1663345739692454     
1057.0 0.10346178464733038  103 0.12244592142513894     0.09653683402397246    
1057.5 0.12897673976021556  103 0.1685823023410564      0.2269086318325189     
1058.0 0.1419031274815667   104 0.16710663187312236     0.26631777499074283    
1058.5 0.11619824330041326  104 0.05123252143010264     0.1371337069603397     
1059.0 0.1692808808722618   104 0.15681268772503923     0.15153249085929316    
1059.5 0.169284252641748    104 0.11069912685335648     0.2868715530018656     
1060.0 0.16189649910870058  104 0.2656752383565687      0.2619740558292923     
